,State,County,Track,Mean Income,Family Size,Population,Black
148,17,031,160602,62135,3.47,3970,83
149,17,031,440700,50392,3.20,1650,1602
150,17,031,834300,51404,3.45,5988,5782
151,17,031,834200,40890,3.24,4375,4248
152,17,031,070400,143279,2.98,3415,181
153,17,031,062600,164966,3.25,2317,34
154,17,031,031700,68873,2.95,6726,1642
155,17,031,301802,38481,3.93,3163,20
156,17,031,660400,58523,4.63,6330,217
157,17,031,560900,85177,3.44,5341,34
158,17,031,730202,57046,3.69,3342,3181
159,17,031,271200,33640,3.91,1254,1178
160,17,031,710800,46192,3.44,4767,4662
161,17,031,241600,99272,3.04,3598,79
162,17,031,831900,146236,2.87,2681,20
163,17,031,400300,41178,3.09,1318,1194
164,17,031,841400,34890,3.94,1213,1101
165,17,031,261000,41734,4.04,2396,2374
166,17,031,841600,38550,3.56,745,730
167,17,031,681400,38358,3.87,2624,2624
168,17,031,610300,43841,4.16,5876,256
169,17,031,301803,36763,4.46,5274,111
170,17,031,491100,76592,3.62,4667,4485
171,17,031,190601,60584,4.65,4695,357
172,17,031,150300,77264,3.51,8298,264
173,17,031,140400,85343,3.95,7319,11
174,17,031,710900,37302,3.74,2380,2328
175,17,031,841500,26003,3.90,3029,2806
176,17,031,600900,54650,3.27,3734,387
177,17,031,839000,99104,2.54,8848,1435
178,17,031,670100,43397,4.28,1325,1207
179,17,031,221100,54338,3.49,5190,685
180,17,031,020602,54289,3.60,4113,400
181,17,031,241000,63326,3.69,2102,552
182,17,031,220902,65080,4.05,3249,28
183,17,031,242600,71362,3.92,6501,1182
184,17,031,640500,69600,3.16,3389,57
185,17,031,081201,191245,2.13,4392,112
186,17,031,660700,35631,4.35,2398,2165
187,17,031,050200,113904,3.29,5230,137
188,17,031,310800,44652,3.89,4509,11
189,17,031,151100,58022,3.85,5419,10
190,17,031,171000,74105,3.46,7843,412
191,17,031,251000,46641,3.63,1120,921
192,17,031,190200,60816,3.87,5591,116
193,17,031,580501,52442,4.25,5527,205
194,17,031,580700,42337,4.10,6098,186
195,17,031,490300,59315,3.49,2233,2077
196,17,031,730400,60825,3.60,4019,3859
197,17,031,681000,32275,4.14,3079,2963
198,17,031,842400,48822,3.43,3102,3102
